,budget (in Million),original_language,runtime,title,movie_id,preprocessed_overview,overview,rating,preprocessed_keywords,preprocessed_genres,preprocessed_cast,preprocessed_director,preprocessed_producer,preprocessed_spoken_languages,preprocessed_production_companies,preprocessed_production_countries,preprocessed_producer_director
35,150,en,150.0,Transformers: Revenge of the Fallen,8373,sam witwicki leav autobot behind normal life mind fill cryptic symbol decepticon target drag back transform war,sam witwicky leaves the autobots behind for a normal life but when his mind is filled with cryptic symbols the decepticons target him and he is dragged back into the transformers war,6.0,egypt sun chaos symbol artifact transformers tank robot imax duringcreditsstinger,science-fiction action adventure,shia-labeouf megan-fox josh-duhamel rainn-wilson tyrese-gibson,michael-bay,don-murphy ian-bryce lorenzo-di-bonaventura tom-desanto,English Español,paramount-pictures dreamworks-skg,United-States-of-America,don-murphy ian-bryce lorenzo-di-bonaventura tom-desanto michael-bay
36,210,en,165.0,Transformers: Age of Extinction,91314,human pick piec follow conclus transform dark moon autobot decepticon vanish face planet howev group power ingeni businessman scientist attempt learn past transform incurs push boundari technolog beyond control ancient power transform menac set earth crosshair,as humanity picks up the pieces following the conclusion of transformers dark of the moon autobots and decepticons have all but vanished from the face of the planet however a group of powerful ingenious businessman and scientists attempt to learn from past transformer incursions and push the boundaries of technology beyond what they can control  all while an ancient powerful transformer menace sets earth in his crosshairs,5.8,sequel alien transformers giant-robot robot imax transforming-robot,science-fiction action adventure,mark-wahlberg stanley-tucci kelsey-grammer nicola-peltz jack-reynor,michael-bay,don-murphy ian-bryce lorenzo-di-bonaventura tom-desanto,English,paramount-pictures amblin-entertainment,United-States-of-America,don-murphy ian-bryce lorenzo-di-bonaventura tom-desanto michael-bay
37,200,en,130.0,Oz: The Great and Powerful,68728,oscar digg smalltim circu illusionist conartist whisk kansa land oz inhabit assum he great wizard propheci save oz clutch evil,oscar diggs a smalltime circus illusionist and conartist is whisked from kansas to the land of oz where the inhabitants assume hes the great wizard of prophecy there to save oz from the clutches of evil,5.7,circus witch magic hope illusion lost magic-trick wizard 3d,fantasy adventure family,james-franco mila-kunis rachel-weisz michelle-williams zach-braff,sam-raimi,joe-roth,English,walt-disney-pictures roth-films,United-States-of-America,joe-roth sam-raimi
38,200,en,142.0,The Amazing Spider-Man 2,102382,peter parker life busi take bad guy spiderman spend time person love gwen staci high school graduat cannot come quickli enough peter forgotten promis made gwen father protect stay away promis cannot keep thing chang peter new villain electro emerg old friend harri osborn return peter uncov new clue past,for peter parker life is busy between taking out the bad guys as spiderman and spending time with the person he loves gwen stacy high school graduation cannot come quickly enough peter has not forgotten about the promise he made to gwens father to protect her by staying away but that is a promise he cannot keep things will change for peter when a new villain electro emerges an old friend harry osborn returns and peter uncovers new clues about his past,6.5,obsession marvel-comic sequel based-on-comic-book electrocution medical-experiment electricity super-powers,action adventure fantasy,andrew-garfield emma-stone jamie-foxx dane-dehaan campbell-scott,marc-webb,avi-arad matt-tolmach,English,columbia-pictures marvel-enterprises,United-States-of-America,avi-arad matt-tolmach marc-webb
39,170,en,125.0,TRON: Legacy,20526,sam flynn techsavvi dare son kevin flynn investig father disappear pull grid help mysteri program name quorra sam quest stop evil dictat clu cross real world,sam flynn the techsavvy and daring son of kevin flynn investigates his fathers disappearance and is pulled into the grid with the help of a mysterious program named quorra sam quests to stop evil dictator clu from crossing into the real world,6.3,artificial-intelligence secret-identity computer-program dystopia computer deception duel motorcycle neon-light autocracy,adventure action science-fiction,garrett-hedlund jeff-bridges olivia-wilde bruce-boxleitner yaya-dacosta,joseph-kosinski,steven-lisberger jeffrey-silver sean-bailey,English,walt-disney-pictures liveplanet,United-States-of-America,steven-lisberger jeffrey-silver sean-bailey joseph-kosinski
40,200,en,106.0,Cars 2,49013,star race car lightn mcqueen pal mater head oversea compet world grand prix race road championship becom rocki mater get caught intrigu adventur intern espionag,star race car lightning mcqueen and his pal mater head overseas to compete in the world grand prix race but the road to the championship becomes rocky as mater gets caught up in an intriguing adventure of his own international espionage,5.8,car-race sequel comedy anthropomorphism best-friend duringcreditsstinger,animation family adventure comedy,owen-wilson larry-the-cable-guy michael-caine emily-mortimer john-turturro,john-lasseter,denise-ream,English 日本語 Italiano Français,walt-disney-pictures pixar-animation-studios,United-States-of-America,denise-ream john-lasseter
41,200,en,114.0,Green Lantern,44912,centuri small power forc warrior call green lantern corp sworn keep intergalact order green lantern wear ring grant superpow new enemi call parallax threaten destroy balanc power univers fate fate earth lie hand first human ever recruit,for centuries a small but powerful force of warriors called the green lantern corps has sworn to keep intergalactic order each green lantern wears a ring that grants him superpowers but when a new enemy called parallax threatens to destroy the balance of power in the universe their fate and the fate of earth lie in the hands of the first human ever recruited,5.1,dc-comics transformation superhero alien alien-infection magical-object protector super-powers origin 3d,adventure action thriller science-fiction,ryan-reynolds blake-lively peter-sarsgaard tim-robbins mark-strong,martin-campbell,donald-de-line greg-berlanti geoff-johns,English,de-line-pictures warner-bros.,United-States-of-America,donald-de-line greg-berlanti geoff-johns martin-campbell
42,200,en,103.0,Toy Story 3,10193,woodi buzz rest andi toy havent play year andi go colleg gang find accident left nefari day care center toy must band togeth escap return home andi,woody buzz and the rest of andys toys havent been played with in years with andy about to go to college the gang find themselves accidentally left at a nefarious day care center the toys must band together to escape and return home to andy,7.6,hostage college toy barbie animation escape day-care teddy-bear duringcreditsstinger toy-comes-to-life personification inanimate-objects-coming-to-life toy-story,animation family comedy,tom-hanks tim-allen ned-beatty joan-cusack michael-keaton,lee-unkrich,john-lasseter darla-k.-anderson,English Español,walt-disney-pictures pixar-animation-studios,United-States-of-America,john-lasseter darla-k.-anderson lee-unkrich
43,200,en,115.0,Terminator Salvation,534,grown postapocalypt 2018 john connor must lead resist human increasingli domin militarist robot marcu wright appear exist confus mission connor tri determin whether wright come futur past whether he friend foe,all grown up in postapocalyptic 2018 john connor must lead the resistance of humans against the increasingly dominating militaristic robots but when marcus wright appears his existence confuses the mission as connor tries to determine whether wright has come from the future or the past  and whether hes friend or foe,5.9,saving-the-world artificial-intelligence prophecy san-francisco cyborg killer-robot gas-station post-apocalyptic dystopia army firearm wartime los-angeles,action science-fiction thriller,christian-bale sam-worthington anton-yelchin moon-bloodgood bryce-dallas-howard,mcg,moritz-borman jeffrey-silver derek-anderson victor-kubicek,English Italiano,columbia-pictures the-halcyon-company,Germany Italy United-Kingdom United-States-of-America,moritz-borman jeffrey-silver derek-anderson victor-kubicek mcg
44,190,en,137.0,Furious 7,168259,deckard shaw seek reveng domin toretto famili comatos brother,deckard shaw seeks revenge against dominic toretto and his family for his comatose brother,7.3,car-race speed revenge suspense car race muscle-car,action,vin-diesel paul-walker dwayne-johnson michelle-rodriguez tyrese-gibson,james-wan,michael-fottrell neal-h.-moritz vin-diesel brandon-birtell,English,universal-pictures original-film,Japan United-States-of-America,michael-fottrell neal-h.-moritz vin-diesel brandon-birtell james-wan
45,200,en,116.0,World War Z,72190,life former unit nation investig gerri lane famili seem content suddenli world plagu mysteri infect turn whole human popul rampag mindless zombi bare escap chao lane persuad go mission investig diseas follow peril trek around world lane must brave horrif danger long odd find answer human civil fall,life for former united nations investigator gerry lane and his family seems content suddenly the world is plagued by a mysterious infection turning whole human populations into rampaging mindless zombies after barely escaping the chaos lane is persuaded to go on a mission to investigate this disease what follows is a perilous trek around the world where lane must brave horrific dangers and long odds to find answers before human civilization falls,6.7,dystopia apocalypse zombie nuclear-weapons multiple-perspectives zombie-apocalypse,action drama horror science-fiction thriller,brad-pitt mireille-enos abigail-hargrove sterling-jerins james-badge-dale,marc-forster,brad-pitt ian-bryce dede-gardner jeremy-kleiner,English,paramount-pictures gk-films,United-States-of-America Malta,brad-pitt ian-bryce dede-gardner jeremy-kleiner marc-forster
